Festival Name,City,Country,Start Date,End Date,Latitude,Longitude,Vibe,Camping,Expected Attendance,Primary Language,Medical: Doctor (Local),Medical: Allergy (Local),Legal: Free To Go? (Local),Legal: Call Embassy (Local),Script: Lost Squad,Script: Substance,Script: Medical Tent,Script: Charging
EDC Thailand,Phuket,Thailand,2026-01-16,2026-01-18,8.001,98.306,Neon EDM,No,"50,000",Thai,ฉันต้องการหมอ (Chǎn dtâung-gaan mǎu),ฉันแพ้ยาเพนิซิลลิน (Chǎn pháe yaa pay-nee-sil-lin),ฉันไปได้หรือยัง? (Chǎn bpai dâai rǔu yang?),ฉันต้องการโทรหาสถานทูต (Chǎn dtâung-gaan tō hǎa sà-thǎan-thôot),ฉันหลงกับเพื่อน ขอใช้โทรศัพท์หรือไวไฟได้ไหม (Chǎn lǒng gàp pêuuan. Kǎu chái tō-rá-sàp rǔu wai-fai dâai mǎi?),เพื่อนฉันกินบางอย่างเข้าไปและต้องการความช่วยเหลือ โปรดอย่าเรียกตำรวจ (Pêuuan chǎn gin baang yàang khâo bpai... bpròat yàa rîak dtam-rùat),เต็นท์พยาบาล / โซนสวัสดิการ อยู่ที่ไหน (Dten phá-yaa-baan / sōn sà-wàt-dì-gaan yùu thîe nǎi?),แบตโทรศัพท์กำลังจะหมด ที่ชาร์จอยู่ที่ไหน (Bàet tō-rá-sàp gam-lang jà mòt. Thîe cháat yùu thîe nǎi?)
UnKonscious,Pattaya,Thailand,2026-02-05,2026-02-08,12.825,100.912,Pure Trance,No,"15,000",Thai,ฉันต้องการหมอ (Chǎn dtâung-gaan mǎu),ฉันแพ้ยาเพนิซิลลิน (Chǎn pháe yaa pay-nee-sil-lin),ฉันไปได้หรือยัง? (Chǎn bpai dâai rǔu yang?),ฉันต้องการโทรหาสถานทูต (Chǎn dtâung-gaan tō hǎa sà-thǎan-thôot),ฉันหลงกับเพื่อน ขอใช้โทรศัพท์หรือไวไฟได้ไหม (Chǎn lǒng gàp pêuuan. Kǎu chái tō-rá-sàp rǔu wai-fai dâai mǎi?),เพื่อนฉันกินบางอย่างเข้าไปและต้องการความช่วยเหลือ โปรดอย่าเรียกตำรวจ (Pêuuan chǎn gin baang yàang khâo bpai... bpròat yàa rîak dtam-rùat),เต็นท์พยาบาล / โซนสวัสดิการ อยู่ที่ไหน (Dten phá-yaa-baan / sōn sà-wàt-dì-gaan yùu thîe nǎi?),แบตโทรศัพท์กำลังจะหมด ที่ชาร์จอยู่ที่ไหน (Bàet tō-rá-sàp gam-lang jà mòt. Thîe cháat yùu thîe nǎi?)
A State of Trance,Rotterdam,Netherlands,2026-02-27,2026-02-28,51.894,4.482,Trance,No,"40,000",Dutch,Ik heb een dokter nodig.,Ik ben allergisch voor penicilline.,Ben ik vrij om te gaan?,Ik wil mijn ambassade bellen.,Ik ben mijn vrienden kwijt. Mag ik je telefoon of wifi gebruiken?,Mijn vriend heeft iets gebruikt en heeft hulp nodig. Geen politie aub.,Waar is de EHBO / medische post?,Mijn telefoon is bijna leeg. Waar is een oplaadpunt?
Pitch Music & Arts,Moyston,Australia,2026-03-06,2026-03-10,-37.297,142.771,Techno/House,Yes,"20,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Tomorrowland Winter,Alpe d'Huez,France,2026-03-21,2026-03-28,45.091,6.068,Snow EDM,No,"25,000",French,J'ai besoin d'un médecin.,Je suis allergique à la pénicilline.,Suis-je libre de partir ?,Je veux appeler mon ambassade.,J'ai perdu mes amis. Puis-je utiliser votre téléphone ou le Wi-Fi ?,"Mon ami a pris quelque chose et a besoin d'aide. Pas de police, s'il vous plaît.",Où se trouve la tente médicale / l'espace bien-être ?,Ma batterie est faible. Où se trouve la station de charge ?
Time Warp,Mannheim,Germany,2026-03-21,2026-03-21,49.479,8.484,Pure Techno,No,"20,000",German,Ich brauche einen Arzt.,Ich bin allergisch gegen Penicillin.,Darf ich gehen?,Ich möchte meine Botschaft anrufen.,Ich habe meine Freunde verloren. Kann ich Ihr Telefon oder WLAN benutzen?,Mein Freund hat etwas genommen und braucht Hilfe. Bitte keine Polizei.,Wo ist das Sanitätszelt / der Welfare-Bereich?,Ich brauche eine Ladestation.
Ultra Miami,Miami,USA,2026-03-27,2026-03-29,25.778,-80.186,Mainstage EDM,No,"170,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Coachella (W1),Indio,USA,2026-04-10,2026-04-12,33.678,-116.236,Boutique/Multi,Yes,"125,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
S2O Songkran,Bangkok,Thailand,2026-04-11,2026-04-13,13.753,100.585,Water/EDM,No,"60,000",Thai,ฉันต้องการหมอ (Chǎn dtâung-gaan mǎu),ฉันแพ้ยาเพนิซิลลิน (Chǎn pháe yaa pay-nee-sil-lin),ฉันไปได้หรือยัง? (Chǎn bpai dâai rǔu yang?),ฉันต้องการโทรหาสถานทูต (Chǎn dtâung-gaan tō hǎa sà-thǎan-thôot),ฉันหลงกับเพื่อน ขอใช้โทรศัพท์หรือไวไฟได้ไหม (Chǎn lǒng gàp pêuuan. Kǎu chái tō-rá-sàp rǔu wai-fai dâai mǎi?),เพื่อนฉันกินบางอย่างเข้าไปและต้องการความช่วยเหลือ โปรดอย่าเรียกตำรวจ (Pêuuan chǎn gin baang yàang khâo bpai... bpròat yàa rîak dtam-rùat),เต็นท์พยาบาล / โซนสวัสดิการ อยู่ที่ไหน (Dten phá-yaa-baan / sōn sà-wàt-dì-gaan yùu thîe nǎi?),แบตโทรศัพท์กำลังจะหมด ที่ชาร์จอยู่ที่ไหน (Bàet tō-rá-sàp gam-lang jà mòt. Thîe cháat yùu thîe nǎi?)
Ultra Australia,Melbourne,Australia,2026-04-11,2026-04-12,-37.778,144.928,Mainstage EDM,No,"40,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
